"id";"day";"end_time";"start_time";"schedule_id"
12182;3;0;0;1982
12192;2;0;0;1982
12202;4;0;0;1982
12212;6;0;0;1982
12222;5;1400;1100;1982
12232;7;0;0;1982
12242;1;0;0;1972
12252;2;0;0;1972
12262;5;1430;1100;1972
12272;3;0;0;1972
12282;4;0;0;1972
12292;7;0;0;1972
12302;6;0;0;1972
12312;1;0;0;1992
12322;2;2100;1100;1992
12332;3;2100;1100;1992
12342;4;2100;1100;1992
12352;5;2200;1100;1992
12362;6;2200;1100;1992
12372;7;2200;1100;1992
12382;3;0;0;2002
12392;4;0;0;2002
12402;2;1400;1100;2002
12412;5;0;0;2002
12422;6;0;0;2002
12432;1;0;0;2002
12442;1;1400;1100;2012
12452;7;0;0;2002
12462;3;0;0;2012
12472;2;0;0;2012
12482;4;0;0;2012
12492;5;0;0;2012
12502;6;0;0;2012
12512;1;0;0;2022
12522;3;0;0;2022
12532;2;0;0;2022
12542;7;0;0;2012
12552;4;0;0;2022
12562;5;1430;1130;2022
12572;6;0;0;2022
12582;7;0;0;2022
12592;5;0;0;2032
12602;1;0;0;2032
12612;3;1000;700;2032
12622;4;1000;700;2032
12632;2;1000;700;2032
12642;1;0;0;2042
12652;6;0;0;2032
12662;3;0;0;2042
12672;2;1400;1130;2042
12682;7;0;0;2032
12692;5;0;0;2042
12702;6;0;0;2042
12712;2;1400;1130;2062
12722;4;0;0;2042
12732;7;0;0;2042
12742;1;0;0;2062
12752;3;0;0;2062
12762;4;0;0;2062
12772;6;0;0;2062
12782;5;0;0;2062
12792;7;0;0;2062
12802;1;0;0;2052
12812;2;0;0;2052
12822;7;0;0;2052
12832;3;1400;1100;2052
12842;6;0;0;2052
12852;5;0;0;2052
12862;4;0;0;2052
12872;1;0;0;2082
12882;4;0;0;2082
12892;6;0;0;2082
12902;3;0;0;2082
12912;2;0;0;2082
12922;5;1400;1100;2082
12932;7;0;0;2082
12942;6;0;0;2072
12952;1;0;0;2072
12962;3;1500;1100;2072
12972;2;0;0;2072
12982;4;0;0;2072
12992;5;0;0;2072
13002;7;0;0;2072
13012;4;1000;700;2092
13022;1;0;0;2092
13032;3;1000;700;2092
13042;2;1000;700;2092
13052;5;0;0;2092
13062;6;0;0;2092
